inj_dosage    : [0, 0]
T_delay       : [28, 28]
meas_protocol : 1d
mouse_1,mouse_2
22.909415695027757,62.82805646689076
25.413323257864896,71.56962333907829
27.130068825261,86.19351976443546
30.41415460343549,101.86041568242734
36.85822708292373,106.09439962581962
40.265423789406746,112.12266898622231
40.85521098005909,121.89506590733876
44.41214341068366,139.25834425441175
46.84942435665418,150.58414870314402
48.1766547324416,160.11752857075686
49.9563440516226,225.47980727971785
52.59404928583954,242.54154043906294
60.854285781156854,281.4459010841341
61.16771961860548,299.7074975183598
64.67455382938662,317.8538057552256
67.95339806000673,337.84780320962744
74.09552340847037,423.72680046135315
77.1495567652097,
81.9252038284602,
88.69917058552817,
89.14423298451587,
100.33321233140529,
112.98633449092624,
123.54315965964008,
127.56163889942763,
130.15926069137691,
132.93180782076766,
133.55602036846503,
139.49423083628338,
142.07293864314497,
150.15203562251298,
151.1952499763883,
154.89568547375504,
157.1352356766826,
161.79390704805567,
163.12259987821005,
176.2702389367493,
179.68455158542113,
183.2521327002298,
183.47199424635747,
186.56364330221595,
199.86579773875104,
215.91049750413578,
246.75246076632612,
249.16570785416096,
262.55333923885075,
262.5630272888902,
266.49696513440045,
268.86345923562345,
272.07792300213276,
273.3463042413763,
296.73290035368177,
302.86494206368866,
303.1918578397279,
312.95339368082426,
330.29279615616764,
336.19537314702063,
346.6400630933711,
384.9298615757691,
397.3616826247236,
419.0169631921202,
419.4003933263708,
433.07882660670856,
451.45812816668405,
452.9409954260512,
461.12714116706144,
469.4535597415332,
476.7876975409468,
477.2375789476975,
