inj_dosage    : [10.0, 10.0]
T_delay       : [7, 28]
meas_protocol : 1d
mouse_1,mouse_2
213.66951062491802,4.532987551930698
7.1018596803864975,5.342068868397696
7.833530710709864,6.74467941751561
14.440749162520559,9.636012533341543
17.880143100941456,15.566746878334476
21.60645985773747,34.360848667045516
25.337105546711417,38.371040667292135
29.61971768899833,60.8196016804321
30.387949303325623,72.33930746888237
45.87390089249704,78.10444750675275
46.78024383999873,82.45056158790533
48.64607526617398,87.80923208706353
50.678349211574044,124.8633212289125
52.50319544168043,132.59214766377482
58.71247271574732,138.764645279253
62.39231379571846,159.5636560333715
66.53221025547161,163.95052589867058
68.23905848709798,180.5491895621005
69.09565147543006,213.46427080388253
70.89125218547915,228.59434131686166
72.52413191214947,229.7920935778808
98.85818853340143,231.81787366061965
98.89443256949147,299.6784674458295
106.2780195539035,338.54963823850375
109.74929269750469,345.0215691489591
112.74963062539743,389.3937526033025
118.78135526450647,406.06362661684517
119.84249096941267,476.48782740633317
122.75480826302201,
132.44656419955442,
145.4765928106009,
146.47888918901901,
147.09303631755193,
148.61267795086204,
153.95902574173016,
154.23787739723434,
161.68233549318137,
168.3719372465316,
171.790312414166,
173.05277222515525,
175.65308206785008,
176.32548434024045,
176.63646169707283,
183.8844196772027,
186.9768344673287,
193.0714912024002,
194.69116467503383,
195.4881903277444,
213.57189564436283,
214.63428237182845,
239.47866786961913,
246.083167571966,
247.53304659393768,
247.90825990636978,
254.8632844452315,
257.1071182228512,
285.42189222682174,
293.94302036771126,
303.1457454498212,
308.74746655459296,
311.1051903009521,
352.5972022891633,
352.609770703632,
363.6230802168133,
364.1596872227212,
385.0382209710024,
396.3025853271991,
415.8516984825197,
415.87359692855875,
445.3244863570394,
450.23300835059405,
454.76592366656485,
